brand,rating,totalReviews
Sony,4,5
Samsung,4.2,38
ASUS,4.3,9
HUAWEI,4.4,8
Motorola,4.2,8
Samsung,5,1
HUAWEI,4.5,59
Apple,2.7,5
Motorola,3.7,64
Google,3.6,22
Samsung,3.9,219
Nokia,3.6,21
Sony,4,1
Motorola,4.2,328
Samsung,4,157
Samsung,3.8,13
Samsung,3.5,367
Apple,3.1,18
Samsung,3.7,550
Motorola,3.9,100
Xiaomi,4.5,180
Apple,1,1
Samsung,4.5,2
Motorola,3.5,2
Samsung,2,6
Motorola,4.2,71
Samsung,3.6,164
Motorola,5,1
Samsung,3.9,17
Motorola,4.1,150
Samsung,3,250
Apple,2.4,15
Motorola,1,1
Samsung,3.9,109
Nokia,3.5,18
Xiaomi,4.1,17
Motorola,3.3,64
Apple,3.8,2
Samsung,3.5,248
Nokia,3.7,71
Xiaomi,4.4,385
Nokia,3,74
Sony,4.6,4
Apple,3.8,25
HUAWEI,4.4,33
Apple,3.8,2
Samsung,4.3,30
HUAWEI,4.3,298
Motorola,4.3,45
Motorola,2,1
Samsung,3.7,20
Samsung,3.6,18
Xiaomi,4.3,393
HUAWEI,4.4,347
Samsung,3,2
Apple,3.2,601
Samsung,3.6,11
Motorola,2.4,5
Samsung,3.9,13
Samsung,3.4,83
Samsung,4,3
Apple,2.7,3
Samsung,2.6,30
Motorola,3.6,422
Samsung,2.6,9
Samsung,3.7,1
Samsung,3.2,116
Nokia,2.8,57
Apple,3.5,9
Apple,3.1,57
Samsung,2.6,20
Samsung,3.8,1
Samsung,4,28
Samsung,3.2,270
Motorola,4,24
Xiaomi,4.2,370
Motorola,3.4,530
Samsung,3.9,40
Sony,3.6,291
Apple,2.8,43
HUAWEI,3,2
Samsung,4.3,425
Apple,3.3,46
Apple,2.9,13
Samsung,4,131
Samsung,3.2,1
Sony,3.1,38
Samsung,3.8,46
Samsung,2.9,38
Nokia,3.2,5
Apple,2.5,12
Samsung,3.2,631
Samsung,2.9,18
Motorola,3.2,33
Apple,3.6,5
Xiaomi,5,1
Samsung,3.3,18
Xiaomi,4.5,16
Samsung,3.8,7
Google,4,18
Xiaomi,4.3,125
Apple,3.1,623
Xiaomi,3.9,120
Apple,4.1,165
Samsung,2.8,367
Samsung,3,10
Motorola,3.8,17
Google,3.4,15
Xiaomi,4.6,7
Samsung,3.5,588
Samsung,3.4,902
Apple,3.6,5
Samsung,3.3,5
Samsung,3.8,4
Samsung,2.9,18
Samsung,2.6,48
Samsung,3,119
Sony,3.2,410
Motorola,2.9,296
Motorola,3.5,122
Nokia,3.8,119
Samsung,3.8,413
Apple,3.6,595
Apple,2.9,5
Motorola,3.1,22
Samsung,3.6,117
Samsung,3.4,199
Samsung,2.9,2
Motorola,4.5,2
Samsung,3.2,610
Samsung,3.6,132
Samsung,3.1,41
Apple,2.3,10
Apple,3.7,5
Xiaomi,4.7,14
Nokia,2.9,5
Motorola,3,5
Apple,3,622
Motorola,3.4,9
Motorola,4.3,7
Samsung,4.4,3
Samsung,3.6,92
Samsung,3.7,215
Xiaomi,4.5,61
Motorola,2.7,4
Samsung,3.4,902
Motorola,3.2,48
HUAWEI,3.9,19
Samsung,3.1,15
Apple,3.7,309
Samsung,1,2
Apple,3.8,432
Apple,3.9,89
Xiaomi,4.4,11
Samsung,3.2,18
Xiaomi,4,48
Motorola,4,46
Nokia,3.5,119
Samsung,3.7,393
Samsung,3.5,2
Samsung,3.4,7
Samsung,3.9,3
Samsung,5,2
Samsung,2.9,14
Samsung,2.9,94
Apple,3,4
Samsung,2.4,12
Samsung,3.3,71
ASUS,4.1,23
Motorola,3,1
Samsung,3.7,74
Samsung,3.3,6
Samsung,3.7,74
Motorola,3.9,25
Motorola,5,1
Samsung,2.9,18
Apple,3.1,6
Apple,3.8,109
HUAWEI,3.7,27
Samsung,3.6,117
Apple,3.8,175
Samsung,3.4,11
Samsung,3.5,33
Motorola,4.5,21
HUAWEI,4,69
Samsung,5,2
Motorola,3.9,38
Samsung,3.1,73
Samsung,2.8,20
Apple,3.9,742
Motorola,2.7,90
Samsung,2.5,3
Apple,3.1,6
Google,3.2,36
Apple,3.3,466
Samsung,3.8,19
Samsung,4,248
Apple,4.1,42
Samsung,3.6,202
Nokia,3.5,27
Samsung,3.4,3
Nokia,3.8,119
Motorola,3,3
Apple,3.6,126
Google,3.3,984
Google,3.6,19
Apple,3,15
Apple,4.2,27
Apple,2.9,28
Samsung,1,1
Apple,4.2,16
Apple,3.1,218
